;scopusID;eID;title;creator;date;pubName;volume;pageNum;citationID;Author
2480;SCOPUS_ID:84879517799;2-s2.0-84879517799;Flux Balance Analysis of Cyanobacterial Metabolism: The Metabolic Network of Synechocystis sp. PCC 6803;Knoop H.;06.01.2013;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879517799&origin=inward;"Knoop H.:37026324300;Grundel M.:55507887100;Zilliges Y.:12786641700;Lehmann R.:36348581500;Hoffmann S.:56214767900;Lockau W.:6701352884;Steuer R.:56074447600"
2481;SCOPUS_ID:84893586407;2-s2.0-84893586407;Density-based clustering based on hierarchical density estimates;Campello R.;12.01.2013;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);7819 LNAI;12;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893586407&origin=inward;"Campello R.J.G.B.:6602121271;Moulavi D.:55150193600;Sander J.:57203258048"
2482;SCOPUS_ID:84881228732;2-s2.0-84881228732;Cell type-specific nuclear pores: A case in point for context-dependent stoichiometry of molecular machines;Ori A.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881228732&origin=inward;"Ori A.:24166814400;Banterle N.:50361028000;Iskar M.:36610301900;Andres-Pons A.:8690393700;Escher C.:57196779621;Khanh Bui H.:55856362000;Sparks L.:55856087100;Solis-Mezarino V.:55856190600;Rinner O.:6602820894;Bork P.:7103061421;Lemke E.A.:9433159700;Beck M.:34874530900"
2483;SCOPUS_ID:84880800567;2-s2.0-84880800567;GEMINI: Integrative Exploration of Genetic Variation and Genome Annotations;Paila U.;07.01.2013;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880800567&origin=inward;"Paila U.:25724586700;Chapman B.A.:56954360100;Kirchner R.:56313178900;Quinlan A.R.:16029284200"
2484;SCOPUS_ID:84883162967;2-s2.0-84883162967;Prediction of protein-protein interactions from amino acid sequences with ensemble extreme learning machines and principal component analysis;You Z.;05.09.2013;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883162967&origin=inward;"You Z.-H.:23062542900;Lei Y.-K.:36131532200;Zhu L.:55710402000;Xia J.:35763445500;Wang B.:57005624400"
2485;SCOPUS_ID:84879398938;2-s2.0-84879398938;A lasso for hierarchical interactions;Bien J.;06.01.2013;Annals of Statistics;41;30;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879398938&origin=inward;"Bien J.:48760915500;Taylor J.:7405405398;Tibshirani R.:7005432426"
2486;SCOPUS_ID:84890064920;2-s2.0-84890064920;DNorm: Disease name normalization with pairwise learning to rank;Leaman R.;11.15.13;Bioinformatics;29;8;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890064920&origin=inward;"Leaman R.:23972756600;Dogan R.I.:57191165771;Lu Z.:23474115300"
2487;SCOPUS_ID:84884197513;2-s2.0-84884197513;An enhanced computational platform for investigating the roles of regulatory RNA and for identifying functional RNA motifs;Chang T.;1.21.13;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884197513&origin=inward;"Chang T.-H.:14218866000;Huang H.-Y.:37025368700;Hsu J.B.-K.:15759704600;Weng S.-L.:7101951974;Horng J.-T.:35612988500;Huang H.-D.:7405615434"
2488;SCOPUS_ID:84891274026;2-s2.0-84891274026;Spreading dynamics in complex networks;Pei S.;12.01.2013;Journal of Statistical Mechanics: Theory and Experiment;2013;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891274026&origin=inward;"Pei S.:42161940400;Makse H.A.:7003916720"
2489;SCOPUS_ID:84880002392;2-s2.0-84880002392;TCC: An R package for comparing tag count data with robust normalization strategies;Sun J.;07.09.2013;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880002392&origin=inward;"Sun J.:55789686100;Nishiyama T.:7202639921;Shimizu K.:7404959417;Kadota K.:7103170735"
2490;SCOPUS_ID:84883467378;2-s2.0-84883467378;OncodriveCLUST: Exploiting the positional clustering of somatic mutations to identify cancer genes;Tamborero D.;9.15.13;Bioinformatics;29;6;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883467378&origin=inward;"Tamborero D.:9640255500;Gonzalez-Perez A.:24080208500;Lopez-Bigas N.:6603569620"
2491;SCOPUS_ID:84878624975;2-s2.0-84878624975;A unified inference procedure for a class of measures to assess improvement in risk prediction systems with survival data;Uno H.;6.30.13;Statistics in Medicine;32;12;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878624975&origin=inward;"Uno H.:12753608400;Tian L.:35264959300;Cai T.:7102610149;Kohane I.S.:35264289500;Wei L.J.:8062883700"
